instance,N,M,runtime,search-iterations,mvc
brock200_1,200,5066,4447,31,183
instance,N,M,runtime,search-iterations,mvc
brock200_1,200,5066,4452,31,183
brock200_2,200,10024,2208,4,193
brock200_3,200,7852,3192,9,191
brock200_4,200,6811,2899,9,187
brock400_1,400,20077,5895,10,385
brock400_2,400,20014,3606,5,386
brock400_3,400,20119,4398,4,385
brock400_4,400,20035,4917,6,385
brock800_1,800,112095,17657,1,789
brock800_2,800,111434,19208,2,787
brock800_3,800,112267,44290,7,789
brock800_4,800,111957,39032,5,788
c-fat200-1,200,18366,1632,0,188
c-fat200-2,200,16665,1530,0,176
c-fat200-5,200,11427,1086,0,142
c-fat500-1,500,120291,11446,0,486
c-fat500-10,500,78123,8441,0,374
c-fat500-2,500,115611,11309,0,474
c-fat500-5,500,101559,10249,0,436
C1000.9,1000,49420,60159,30,959
C125.9,125,786,2022,244,94
C2000.5,2000,999163,196636,1,1993
C2000.9,2000,199467,151541,15,1961
C250.9,250,3140,15497,275,211
C4000.5,4000,3997732,860564,0,3993
C500.9,500,12417,41797,130,457
gen200_p0.9_44,200,1989,10675,338,163
gen200_p0.9_55,200,1989,5605,179,163
gen400_p0.9_55,400,7979,20137,114,357
gen400_p0.9_65,400,7979
