instance,N,M,construction,runtime,rm-greedy-100
brock200_1,200,5066,31,2502,187
brock200_2,200,10024,69,4553,194
brock200_3,200,7852,56,3530,193
brock200_4,200,6811,46,3287,190
brock400_1,400,20077,250,17914,387
brock400_2,400,20014,229,17587,388
brock400_3,400,20119,219,17675,388
brock400_4,400,20035,221,17331,388
brock800_1,800,112095,2136,191309,791
brock800_2,800,111434,2310,201019,791
brock800_3,800,112267,2215,195328,791
brock800_4,800,111957,2222,201653,790
c-fat200-1,200,18366,144,8105,196
c-fat200-2
