instance,N,M,construction,runtime,rm-greedy,it
brock200_1,200,5066,31,137,188,10
brock200_2,200,10024,70,148,193,10
brock200_3,200,7852,56,119,192,10
brock200_4,200,6811,49,125,189,10
brock400_1,400,20077,272,722,387,10
brock400_2,400,20014,247,425,388,10
brock400_3,400,20119,244,586,386,10
brock400_4,400,20035,275,785,386,10
brock800_1,800,112095,2743,4044,788,10
brock800_2,800,111434,2469,3452,789,10
brock800_3,800,112267,2908,4002,791,10
brock800_4,800,111957,2551,6152,790,10
c-fat200-1,200,18366,172,391,188,10
c-fat200-2,200,16665,491,1742,176,10
c-fat200-5,200,11427,169,1485,142,10
c-fat500-1,500,120291,3414,23960,497,10
c-fat500-10,500,78123,1989,27201,374,10
c-fat500-2,500,115611,2673,22463,497,10
c-fat500-5,500,101559,2534,25009,436,10
C1000.9,1000,49420,2536,22104,972,10
C125.9,125,786,7,74,98,10
C2000.5,2000,999163,87452,717566,1994,10
C2000.9,2000,199467,19088,147359,1972,10
C250.9,250,3140,62,378,221,10
C4000.5,4000,3997732,599407,29107703,3993,10
C500.9,500,12417,265,1564,468,10
gen200_p0.9_44,200,1989,125,123,173,10
gen200_p0.9_55,200,1989,62,115,170,10
gen400_p0.9_55,400,7979,129,807,367,10
gen400_p0.9_65,400,7979,205,784,371,10
gen400_p0.9_75,400,7979,302,809,368,10
hamming10-2,1024,5120,254,2028,876,10
hamming10-4,1024,89600,2294,23086,1017,10
hamming6-2,64,192,110,13,51,10
hamming6-4,64,1312,20,30,62,10
hamming8-2,256,1024,35,106,212,10
hamming8-4,256,11776,166,769,251,10
johnson16-2-4,120,1680,105,66,115,10
johnson32-2-4,496,14880,217,2057,485,10
johnson8-2-4,28,168,97,5,25,10
johnson8-4-4,70,560,13,16,65,10
keller4,171,5100,58,246,165,10
keller5,776,74710,1457,14463,764,10
keller6,3361,1026582,77334,861257,3331,10
MANN_a27,378,702,39,96,260,10
MANN_a45,1035,1980,62,635,705,10
MANN_a81,3321,6480,510,6507,2241,10
MANN_a9,45,72,0,0,32,10
p_hat1000-1,1000,377247,8886,73860,997,10
p_hat1000-2,1000,254701,6090,51385,964,10
p_hat1000-3,1000,127754,3090,27738,949,10
p_hat1500-1,1500,839327,30691,268227,1493,10
p_hat1500-2,1500,555290,19582,180075,1449,10
p_hat1500-3,1500,277006,9847,90098,1435,10
p_hat300-1,300,33917,484,2093,297,10
p_hat300-2,300,22922,389,1477,281,10
p_hat300-3,300,11460,232,759,274,10
p_hat500-1,500,93181,1265,9635,496,10
p_hat500-2,500,61804,904,6527,476,10
p_hat500-3,500,30950,752,3469,461,10
p_hat700-1,700,183651,3339,25927,696,10
p_hat700-2,700,122922,2712,18498,666,10
p_hat700-3,700,61640,1125,9793,652,10
san1000,1000,249000,6025,54063,992,10
san200_0.7_1,200,5970,138,341,187,10
san200_0.7_2,200,5970,89,311,188,10
san200_0.9_1,200,1990,62,149,155,10
san200_0.9_2,200,1990,16,120,166,10
san200_0.9_3,200,1990,22,116,176,10
san400_0.5_1,400,39900,477,3534,393,10
san400_0.7_1,400,23940,297,2193,389,10
san400_0.7_2,400,23940,312,2407,385,10
san400_0.7_3,400,23940,328,2384,388,10
san400_0.9_1,400,7980,154,804,374,10
sanr200_0.7,200,6032,82,309,191,10
sanr200_0.9,200,2037,26,119,171,10
sanr400_0.5,400,39816,609,3401,395,10
sanr400_0.7,400,23931,327,2109,391,10
