instance,N,M,construction,runtime,greedy
brock200_1,200,5066,27,28,189
brock200_2,200,10024,74,41,193
brock200_3,200,7852,55,33,192
brock200_4,200,6811,47,15,189
brock400_1,400,20077,235,171,389
brock400_2,400,20014,227,170,388
brock400_3,400,20119,222,156,387
brock400_4,400,20035,220,171,387
brock800_1,800,112095,2256,1837,789
brock800_2,800,111434,2227,1860,789
brock800_3,800,112267,2193,1884,792
brock800_4,800,111957,2181,1810,792
c-fat200-1,200,18366,123,78,188
c-fat200-2,200,16665,112,77,176
c-fat200-5,200,11427,76,64,142
c-fat500-1,500,120291,1569,1164,486
c-fat500-10,500,78123,1063,1114,374
c-fat500-2,500,115611,1528,1220,474
c-fat500-5,500,101559,1350,1276,436
C1000.9,1000,49420,1198,1108,969
C125.9,125,786,5,1,99
C2000.5,2000,999163,45190,41991,1994
C2000.9,2000,199467,8958,8807,1971
C250.9,250,3140,25,17,222
C4000.5,4000,3997732,348977,340422,3993
C500.9,500,12417,171,140,466
gen200_p0.9_44,200,1989,31,23,173
gen200_p0.9_55,200,1989,36,8,169
gen400_p0.9_55,400,7979,109,80,369
gen400_p0.9_65,400,7979,108,69,373
gen400_p0.9_75,400,7979,107,71,369
hamming10-2,1024,5120,125,141,512
hamming10-4,1024,89600,2166,2295,992
hamming6-2,64,192,1,0,32
hamming6-4,64,1312,5,2,60
hamming8-2,256,1024,8,7,128
hamming8-4,256,11776,93,65,240
johnson16-2-4,120,1680,15,0,112
johnson32-2-4,496,14880,183,184,480
johnson8-2-4,28,168,1,0,24
johnson8-4-4,70,560,2,0,56
keller4,171,5100,30,15,163
keller5,776,74710,1525,1395,759
keller6,3361,1026582,75550,84501,3324
MANN_a27,378,702,0,15,261
MANN_a45,1035,1980,46,62,705
MANN_a81,3321,6480,465,556,2241
MANN_a9,45,72,0,0,33
p_hat1000-1,1000,377247,8865,7439,994
p_hat1000-2,1000,254701,5958,5154,966
p_hat1000-3,1000,127754,2979,2622,952
p_hat1500-1,1500,839327,28456,27057,1493
p_hat1500-2,1500,555290,20083,17811,1448
p_hat1500-3,1500,277006,9674,9149,1430
p_hat300-1,300,33917,295,215,296
p_hat300-2,300,22922,216,138,282
p_hat300-3,300,11460,101,70,275
p_hat500-1,500,93181,1254,1000,494
p_hat500-2,500,61804,832,650,476
p_hat500-3,500,30950,404,312,461
p_hat700-1,700,183651,3262,2595,696
p_hat700-2,700,122922,2288,1971,667
p_hat700-3,700,61640,1097,945,654
san1000,1000,249000,6022,5429,992
san200_0.7_1,200,5970,100,31,186
san200_0.7_2,200,5970,72,25,188
san200_0.9_1,200,1990,30,9,155
san200_0.9_2,200,1990,26,10,167
san200_0.9_3,200,1990,32,9,176
san400_0.5_1,400,39900,476,333,393
san400_0.7_1,400,23940,263,203,381
san400_0.7_2,400,23940,306,203,386
san400_0.7_3,400,23940,314,204,388
san400_0.9_1,400,7980,78,78,372
sanr200_0.7,200,6032,35,31,189
sanr200_0.9,200,2037,15,11,171
sanr400_0.5,400,39816,437,321,393
sanr400_0.7,400,23931,275,195,390
